ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"ŠMARTNO OB SAVI, V NEPOSREDNI BLIŽINI BTC - JA",Prodaja,Hiša,Vrstna,2019,,170.0,355000.0,
TABOR,Prodaja,Hiša,Samostojna,2012,,175.0,420000.0,
TREBNJE,Prodaja,Hiša,Samostojna,2012,,120.0,229000.0,
"TROJANE, BLIŽINA AC, 25 MIN DO LJ.",Prodaja,Stanovanje,dvosobno,1979,,62.7,79000.0,
"TROJANE, OKOLICA IZLAKE",Prodaja,Stanovanje,štirisobno,1979,,108.2,135000.0,
"TROJANE, POLŠINA, BLIŽINA AC",Prodaja,Hiša,Samostojna,1954,,95.0,68000.0,
VELENJE,Prodaja,Poslovni prostor,Večji poslovni kompleks,2005,,4144.0,1980000.0,
"VELIKE MALENCE, 50",Prodaja,Hiša,Samostojna,2003,,415.53,299999.0,
VELIKI GABER,Prodaja,Hiša,Samostojna,2019,,240.0,295000.0,
VELIKI GABER,Prodaja,Hiša,Samostojna,2019,,240.0,285000.0,
"VELIKI LOČNIK, VRH NAD ŽELIMLJAMI",Prodaja,Hiša,Samostojna,2019,,221.84,228855.0,
VERD,Prodaja,Poslovni prostor,Drugo,1980,,1802.0,1550000.0,
VIPAVA,Prodaja,Stanovanje,dvosobno,1850,,677.0,420000.0,
VIŽMARJE,Prodaja,Stanovanje,garsonjera,2020,,33.97,119223.0,
VIŽMARJE,Prodaja,Stanovanje,enosobno,2020,,43.48,138143.0,
VIŽMARJE,Prodaja,Poslovni prostor,Gostinski lokal,2019,,80.14,158645.0,
"VNANJE GORICE, BREZOVICA PRI LJUBLJANI",Prodaja,Stanovanje,štirisobno,2010,,112.3,190000.0,
"VODICE, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,,158.0,490000.0,
"VOJNIK, CESTA TALCEV, OBJEKT 3",Prodaja,Hiša,Samostojna,2018,,126.0,126500.0,
"VRHNIKA, VRTNARIJA",Prodaja,Stanovanje,dvosobno,2000,,45.9,117000.0,
