ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija 
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"78,90","223.299,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"79,00","239.000,00",Avenija nepremičnin d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"79,00","188.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"79,90","190.000,00",Mezanin nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"80,10","243.933,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"80,50","230.893,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"80,80","270.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"81,40","239.568,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"81,40","249.280,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"81,40","249.280,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"83,00","240.636,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"84,60","185.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"86,60","179.000,00",Mezanin nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"86,60","178.999,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"87,00","190.000,00",Mezanin nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"87,40","269.000,00","STAN nepremičnine d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"89,70","210.000,00",MKA nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"89,83","225.000,00",Rocco nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"90,02","225.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"90,30","270.000,00",Rocco nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"91,00","260.000,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"92,00","225.000,00","STAN nepremičnine d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"92,00","190.000,00","Aeon nepremičnine, d.o.o., Century 21 Emona"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"92,00","190.000,00",Zasebna ponudba
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"98,30","301.501,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"100,00","271.000,00",Rocco nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"112,70","275.000,00",Proneo d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"113,00","323.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"115,00","275.000,00",Mreža nepremičnin d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"122,00","135.500,00","Aeon nepremičnine, d.o.o., Century 21 Emona"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"122,20","239.000,00",Inalbea d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"122,80","280.000,00","STAN nepremičnine d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Posest,,,,"126,50","500.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"126,50","469.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Hiša,,,,"130,00","320.000,00","Stoja trade, d.o.o., Ljubljana"
"PIRAN, PRVOMAJSKI TRG",Prodaja,Stanovanje,,,,"35,00","82.000,00","RE/MAX Obala, Nepremičninska družba, d.o.o."
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"131,49","459.000,00","Aeon nepremičnine, d.o.o., Century 21 Emona"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"137,39","450.000,00",LJUBLJANA NEPREMIČNINE d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"159,00","315.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"165,00","299.000,00",Rocco nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"166,45","310.000,00",Roni nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"172,00","490.000,00",Mezanin nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"179,00","196.000,00",Atrium nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Počitniški objekt,,,,"181,00","550.000,00",Galeno d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"189,00","258.000,00",KREATIVDOM d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"200,00","270.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"200,40","360.000,00","Aeon nepremičnine, d.o.o., Century 21 Emona"
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"201,30","297.000,00",Atrium nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"220,00","231.000,00",Moneta Invest d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"222,30","358.000,00",Avenija nepremičnin d.o.o.
"LJ. CENTER, TRNOVO, CESTA V ZELENI LOG",Prodaja,Stanovanje,,,,"112,70","225.000,00",Akva d.o.o. PE nepremičnine
LJ. ŠIŠKA,Prodaja,Hiša,,,,"232,00","460.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"232,00","460.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"234,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"234,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"240,00","325.000,00",Rojal invest d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"240,00","367.780,00",Real Go d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"241,00","450.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"264,00","460.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"300,00","945.000,00",Zasebna ponudba
LJ. ŠIŠKA,Prodaja,Hiša,,,,"300,00","490.000,00",DVOREC POSREDNIŠKA HIŠA d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"300,00","1.800,00",Moneta Invest d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"300,00","169.000,00",Casa 69 d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"303,00","770.000,00",DARMAL d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"342,00","399.000,00",Medvešek Pušnik Nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"363,30","345.000,00",TRG NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"405,00","299.000,00","DUTB, d.d."
LJ. ŠIŠKA,Prodaja,Hiša,,,,"450,00","795.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Hiša,,,,"467,40","795.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"480,00","810.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Hiša,,,,"491,68","896.000,00",RCN d.o.o.
LJ. ŠIŠKA,Prodaja,Hiša,,,,"550,00","810.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"600,00","960.000,00","Stoja trade, d.o.o., Ljubljana"
LJ. ŠIŠKA,Prodaja,Hiša,,,,"615,00","867.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Posest,,,,"841,00","485.000,00","Nepremičnine M8, Lea Kavalič s.p."
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"872,00","765.000,00",Mezanin nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"900,00","810.000,00",LJUBLJANA NEPREMIČNINE d.o.o.
LJ. ŠIŠKA,Prodaja,Posest,,,,"970,00","582.000,00",Rocco nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"1.088,30","790.000,00",Svet Real d.o.o.
LJ. ŠIŠKA,Prodaja,Posest,,,,"1.450,00","490.000,00",ABC nepremičnine d.o.o.
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"1.482,00","1.187.000,00","RE/MAX Commercial Slovenija, RMC d.o.o."
LJ. ŠIŠKA,Prodaja,Poslovni prostor,,,,"1.484,00","1.187.000,00","RE/MAX Commercial Slovenija, RMC d.o.o."
LJ. ŠIŠKA,Prodaja,Posest,,,,"2.783,00","790.000,00",Rocco nepremičnine d.o.o.
"LJ. ŠIŠKA, - GALETOV BLOK",Prodaja,Stanovanje,,,,"85,10","230.000,00",Real Go d.o.o.
"LJ. ŠIŠKA, - OB CELOVŠKI CESTI",Prodaja,Stanovanje,,,,"76,00","189.000,00",KREATIVDOM d.o.o.
"LJ. ŠIŠKA, - SMLEDNIK, GOLF IGRIŠČE",Prodaja,Posest,,,,"12.000,00","55,00",Zasebna ponudba
"LJ. ŠIŠKA, - STEGNE",Prodaja,Poslovni prostor,,,,"122,00","135.500,00",Zasebna ponudba
"LJ. ŠIŠKA, - Z BALKONOM IN DVIGALOM",Prodaja,Stanovanje,,,,"60,00","164.000,00",KREATIVDOM d.o.o.
"LJ. ŠIŠKA, 100M OD OŠ HINKA SMREKARJA",Prodaja,Stanovanje,,,,"102,00","237.000,00",Zasebna ponudba
"LJ. ŠIŠKA, 16 KM IZ CENTRA",Prodaja,Hiša,,,,"220,00","225.000,00",Eventum d.o.o.
"LJ. ŠIŠKA, ADAMIČEVA",Prodaja,Stanovanje,,,,"29,10","105.000,00",Zasebna ponudba
"LJ. ŠIŠKA, ATRIJSKO",Prodaja,Stanovanje,,,,"95,00","269.000,00",Avenija nepremičnin d.o.o.
"LJ. ŠIŠKA, BALKON",Prodaja,Stanovanje,,,,"58,20","159.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BALKON",Prodaja,Stanovanje,,,,"65,90","165.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BALKON, MODERNO",Prodaja,Stanovanje,,,,"53,30","179.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BALKON, MOŽNOST VARNE INVESTICIJE",Prodaja,Stanovanje,,,,"42,00","123.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BALKON, ZA INVESTICIJO",Prodaja,Stanovanje,,,,"55,20","143.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BALKON, ZA INVESTICIJO",Prodaja,Stanovanje,,,,"55,70","137.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, BLIZU OŠ HINKA SMREKARJA",Prodaja,Stanovanje,,,,"77,50","190.000,00",KREATIVDOM d.o.o.
"TABOR, PREDEL MAGDALENA, BLIZU BOLNICE",Prodaja,Stanovanje,,,,"80,00","82.750,00",Zasebna ponudba
"LJ. ŠIŠKA, BLIZU OŠ HINKA SMREKARJA",Prodaja,Stanovanje,,,,"113,00","237.000,00",KREATIVDOM d.o.o.
"LJ. ŠIŠKA, BLIŽINA BOLNICE PETRA DRŽAJA",Prodaja,Poslovni prostor,,,,"234,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
"LJ. ŠIŠKA, BLIŽINA KINA",Prodaja,Hiša,,,,"234,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
"LJ. ŠIŠKA, BLIŽINA KINA IN KOSEZ",Prodaja,Poslovni prostor,,,,"234,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
"LJ. ŠIŠKA, BLIŽINA KINO ŠIŠKE",Prodaja,Stanovanje,,,,"33,90","99.000,00","Sans nepremičnine, d.o.o."
"LJ. ŠIŠKA, BLIŽINA KOSEŠKE TRZNICE",Prodaja,Posest,,,,"841,00","485.000,00",FIRMA nepremičnine Martinović & Co. k.d.
"LJ. ŠIŠKA, BLIŽINA KOSEŠKE TRŽNICE",Prodaja,Stanovanje,,,,"176,10","445.689,00",Svet Real d.o.o.
"LJ. ŠIŠKA, BLIŽINA MOSTECA",Prodaja,Stanovanje,,,,"100,00","139.900,00",Larimar nepremičnine d.o.o.
"LJ. ŠIŠKA, BLIŽINA MOSTECA - POD ŠIŠ. HRIBOM",Prodaja,Hiša,,,,"94,00","133.000,00",Eventum d.o.o.
"LJ. ŠIŠKA, BLIŽINA ŠMARNE GORE",Prodaja,Hiša,,,,"194,00","490.000,00","OBRAT,poslovanje z nepremičninami, Primož Sušnik s.p."
"LJ. ŠIŠKA, BLIŽINA ŠMARNE GORE, PARK. MESTO",Prodaja,Stanovanje,,,,"61,02","167.000,00",Casa 69 d.o.o.
"LJ. ŠIŠKA, BLIŽINA TIVOLIJA",Prodaja,Stanovanje,,,,"90,00","269.000,00",ALEA nepremičninska družba d.o.o.
"LJ. ŠIŠKA, BLIŽINA TIVOLIJA",Prodaja,Stanovanje,,,,"95,95","230.000,00","Abstract nepremičnine, Igor Kerin s.p."
"LJ. ŠIŠKA, BRAVNIČARJEVA, S PARKIRIŠČI",Prodaja,Poslovni prostor,,,,"800,00","1.095.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"LJ. ŠIŠKA, BRAVNIČARJEVA, S PARKIRIŠČI",Prodaja,Poslovni prostor,,,,"800,00","1.095.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"LJ. ŠIŠKA, BRILEJEVA ULICA",Prodaja,Stanovanje,,,,"47,40","154.000,00",KREATIVDOM d.o.o.
"LJ. ŠIŠKA, BROD",Prodaja,Stanovanje,,,,"91,20","267.000,00",Avenija nepremičnin d.o.o.
"LJ. ŠIŠKA, BROD",Prodaja,Poslovni prostor,,,,"226,00","480.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, BROD - TACENSKE BRZICE",Prodaja,Stanovanje,,,,"65,00","167.000,00",Lares nepremičninska družba d.o.o.
"LJ. ŠIŠKA, CELOVŠKA",Prodaja,Stanovanje,,,,"43,10","160.000,00","SP, storitve in posredovanje v prometu z nepremičninami, Peter Seljak s.p."
"LJ. ŠIŠKA, CELOVŠKA CESTA",Prodaja,Stanovanje,,,,"21,50","57.500,00","Visa d.o.o., Ljubljana"
"LJ. ŠIŠKA, CELOVŠKA CESTA",Prodaja,Stanovanje,,,,"55,30","190.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, CELOVŠKA CESTA",Prodaja,Stanovanje,,,,"55,30","174.900,00","Lucia tim d.o.o., PE Nepremičnine"
"LJ. ŠIŠKA, CELOVŠKA CESTA",Prodaja,Stanovanje,,,,"75,85","219.000,00",Inalbea d.o.o.
"LJ. ŠIŠKA, CELOVŠKA CESTA",Prodaja,Poslovni prostor,,,,"834,70","850.000,00",Rocco nepremičnine d.o.o.
"LJ. ŠIŠKA, CELOVŠKA CESTA 136",Prodaja,Poslovni prostor,,,,"56,60","90.000,00",Zasebna ponudba
"LJ. ŠIŠKA, CELOVŠKA CESTA, BLIŽINA LPP",Prodaja,Stanovanje,,,,"74,00","192.000,00",Rojal invest d.o.o.
"CELJE, TEHARJE",Prodaja,Posest,,,,"1.010,00","95,00",Borza nepremičnin d.o.o.
"LJ. ŠIŠKA, CEN. URBANE KULTURE - KINO",Prodaja,Stanovanje,,,,"70,00","169.000,00",ALEA nepremičninska družba d.o.o.
"LJ. ŠIŠKA, CESTA ANDREJA BITENCA",Prodaja,Poslovni prostor,,,,"202,00","270.000,00",METROPOLA IN d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Stanovanje,,,,"40,00","135.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Poslovni prostor,,,,"53,20","80.000,00",Lares nepremičninska družba d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Poslovni prostor,,,,"53,20","80.000,00",Lares nepremičninska družba d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Stanovanje,,,,"55,20","149.000,00",Afirmacija d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Stanovanje,,,,"77,80","182.000,00 &euro;<span class=""cena-old"">189.000,00","Dominos d.o.o., PE Ljubljana"
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Poslovni prostor,,,,"88,00","137.000,00","Dominos d.o.o., PE Ljubljana"
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Hiša,,,,"188,00","350.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, DRAVLJE",Prodaja,Hiša,,,,"404,00","575.000,00","Stoja trade, d.o.o., Ljubljana"
"LJ. ŠIŠKA, DRAVLJE, ULICA 28. MAJA",Prodaja,Stanovanje,,,,"76,60","217.000,00",Zasebna ponudba
"LJ. ŠIŠKA, FRANKOPANSKA ULICA",Prodaja,Stanovanje,,,,"53,40","148.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, GALETOVI BLOKI",Prodaja,Stanovanje,,,,"86,00","232.000,00",Mreža nepremičnin d.o.o.
"LJ. ŠIŠKA, GAMELJNE",Prodaja,Stanovanje,,,,"119,95","395.000,00","Coinhab, d.o.o."
"LJ. ŠIŠKA, GAMELJNE",Prodaja,Hiša,,,,"210,00","525.000,00 &euro;<span class=""cena-old"">567.500,00","Stoja trade, d.o.o., Ljubljana"
"LJ. ŠIŠKA, GAMELJNE - SREDNJE",Prodaja,Hiša,,,,"162,00","177.000,00",DFI nepremičnine d.o.o.
"LJ. ŠIŠKA, GLINCE",Prodaja,Hiša,,,,"240,00","345.000,00","Rebernik nepremičnine, Samo Rebernik s.p."
"LJ. ŠIŠKA, GLINCE - PODUTIK",Prodaja,Stanovanje,,,,"240,00","385.000,00","Rebernik nepremičnine, Samo Rebernik s.p."
"LJ. ŠIŠKA, GLINCE - PODUTIK",Prodaja,Hiša,,,,"240,00","385.000,00","Rebernik nepremičnine, Samo Rebernik s.p."
"LJ. ŠIŠKA, GLINCE - PODUTIK",Prodaja,Hiša,,,,"240,00","385.000,00","Rebernik nepremičnine, Samo Rebernik s.p."
"LJ. ŠIŠKA, GORIŠKA ULICA",Prodaja,Garaža,,,,"14,00","12.000,00",PERFEKT B d.o.o.
"LJ. ŠIŠKA, GOTSKA ULICA",Prodaja,Stanovanje,,,,"62,60","159.000,00",Media nepremičnine d.o.o.
"ŠINKOV TURN, VODICE",Prodaja,Posest,,,,"950,00","97.000,00",Media nepremičnine d.o.o.
"LJ. ŠIŠKA, GUNCLJE - OB GOZDU",Prodaja,Hiša,,,,"354,00","459.000,00","Salomon nepremičnine, Anže Nahtigal, s.p."
"LJ. ŠIŠKA, IC STEGNE, PARKIRIŠČA",Prodaja,Poslovni prostor,,,,"1.400,00","900.000,00","Rebernik nepremičnine, Samo Rebernik s.p."
"LJ. ŠIŠKA, IND. CONA PRŽAN",Prodaja,Poslovni prostor,,,,"22,00","750,00",JA Invest 888 d.o.o.
"LJ. ŠIŠKA, INVESTORS ROI 7, 7%, LJ CITY RING",Prodaja,Hiša,,,,"300,00","590.000,00",Zasebna ponudba
"LJ. ŠIŠKA, JAKČEVA ULICA",Prodaja,Stanovanje,,,,"64,20","167.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, JESENKOVA 3",Prodaja,Poslovni prostor,,,,"985,70","1.100.000,00",Ministrstvo za javno upravo
"LJ. ŠIŠKA, KAVŠKOVA ULICA",Prodaja,Stanovanje,,,,"48,00","115.900,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, KNEZOVA ULICA",Prodaja,Stanovanje,,,,"37,10","130.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, KNEZOVA ULICA 6",Prodaja,Stanovanje,,,,"37,00","140.000,00",Zasebna ponudba
"LJ. ŠIŠKA, KOGOJEVA ULICA",Prodaja,Stanovanje,,,,"63,70","159.000,00","Dominos d.o.o., PE Ljubljana"
"LJ. ŠIŠKA, KOGOJEVA ULICA",Prodaja,Stanovanje,,,,"63,70","159.000,00",Makra as Marko Krajner s.p.
"LJ. ŠIŠKA, KOSEZE",Prodaja,Stanovanje,,,,"71,30","248.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, KOSEZE",Prodaja,Stanovanje,,,,"94,50","320.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, KOSEZE",Prodaja,Posest,,,,"987,00","1.150.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, KOSEZE, TERASASTI BLOKI",Prodaja,Stanovanje,,,,"55,00","165.000,00",Zasebna ponudba
"LJ. ŠIŠKA, KUPEC NE PLAČA PROVIZIJE",Prodaja,Stanovanje,,,,"38,24","152.957,85",RCN d.o.o.
"LJ. ŠIŠKA, LEPODVORSKA UTICA",Prodaja,Stanovanje,,,,"74,60","238.000,00","ENOTA real estate, nepremičninsko posredovanje, Eva Golc, s.p"
"LJ. ŠIŠKA, LITOSTROJ",Prodaja,Poslovni prostor,,,,"2.548,00","1.600.000,00",Dajč & Dajč d.o.o.
"LJ. ŠIŠKA, LITOSTROJSKA 52",Prodaja,Posest,,,,"8.057,00","3.500.000,00",S-Invest d.o.o.
"LJ. ŠIŠKA, LITOSTROJSKA CESTA",Prodaja,Stanovanje,,,,"39,70","134.560,00",Lanel invest d.o.o.
"LJ. ŠIŠKA, LITOSTROJSKA CESTA",Prodaja,Stanovanje,,,,"76,60","189.000,00",Diamant nepremičnine d.o.o.
"LJ. ŠIŠKA, LJUBELJSKA ULICA",Prodaja,Stanovanje,,,,"33,30","107.000,00","MP PROJEKT, d.o.o., PE Ljubljana"
"LJ. ŠIŠKA, MALEŠEVA ULICA",Prodaja,Hiša,,,,"212,90","603.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, MALGAJEVA ULICA",Prodaja,Stanovanje,,,,"87,00","230.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, MALGAJEVA ULICA TIVOLI",Prodaja,Stanovanje,,,,"45,00","122.000,00",UgodNepremicnine - Vehar Sebastjan s.p.
"LJ. ŠIŠKA, MALGAJEVA, OB TIVOLIJU IN CENTRU",Prodaja,Stanovanje,,,,"73,00","185.000,00","Erjavec nepremičnine, Erjavec Dušan s.p."
"LJ. ŠIŠKA, MEDENSKA CESTA",Prodaja,Hiša,,,,"132,00","299.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, MEDVODE",Prodaja,Hiša,,,,"275,70","300.000,00",Mezanin nepremičnine d.o.o.
"LJ. ŠIŠKA, MEDVODE",Prodaja,Hiša,,,,"290,00","419.999,00",Mezanin nepremičnine d.o.o.
"LJ. ŠIŠKA, MOSTEC",Prodaja,Stanovanje,,,,"64,70","265.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, MOSTEC",Prodaja,Stanovanje,,,,"90,80","360.000,00","Abstract nepremičnine, Igor Kerin s.p."
"LJ. ŠIŠKA, MOSTEC - ATRIJSKO STANOVANJE",Prodaja,Stanovanje,,,,"92,00","375.000,00",KREATIVDOM d.o.o.
"KOPER, ZG. SEMEDELA",Prodaja,Stanovanje,,,,"64,62","116.000,00",Adria nepremičnine d.o.o.
"LJ. ŠIŠKA, NA JAMI",Prodaja,Stanovanje,,,,"55,70","137.000,00",Zasebna ponudba
"LJ. ŠIŠKA, NA JAMI",Prodaja,Stanovanje,,,,"57,00","137.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, NEPOSREDNA BLIŽINA TIVOLIJA",Prodaja,Stanovanje,,,,"53,40","139.900,00",Zasebna ponudba
"LJ. ŠIŠKA, OB CELOVŠKI CESTI",Prodaja,Posest,,,,"1.132,00","350,00",Rocco nepremičnine d.o.o.
"LJ. ŠIŠKA, OB KOSEŠKEM BAJERJU",Prodaja,Hiša,,,,"195,00","602.990,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, OB LITOSTROJSKI CESTI",Prodaja,Posest,,,,"860,00","299.000,00",Panoramix Vladimir Radič s.p.
"LJ. ŠIŠKA, OB ŽICI",Prodaja,Stanovanje,,,,"60,50","164.000,00 &euro;<span class=""cena-old"">167.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, OBIRSKA ULICA",Prodaja,Stanovanje,,,,"85,80","209.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, OBIRSKA ULICA",Prodaja,Stanovanje,,,,"92,00","199.000,00",ZWELO online nepremičninske storitve d.o.o.
"LJ. ŠIŠKA, OBIRSKA, MOŽEN TAKOJŠNJI PREVZEM",Prodaja,Stanovanje,,,,"59,00","145.000,00",Studio modul d.o.o.
"LJ. ŠIŠKA, OBIRSKA, MOŽEN TAKOJŠNJI PREVZEM",Prodaja,Stanovanje,,,,"59,00","145.000,00",Studio modul d.o.o.
"LJ. ŠIŠKA, ODPRT POGLED NA PARK",Prodaja,Stanovanje,,,,"33,30","101.500,00 &euro;<span class=""cena-old"">102.900,00",PERFEKT B d.o.o.
"LJ. ŠIŠKA, PARKIRNO MESTO",Prodaja,Stanovanje,,,,"58,30","154.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. ŠIŠKA, PILON, PARKIRNO MESTO",Prodaja,Stanovanje,,,,"55,10","185.000,00",Casa 69 d.o.o.
"LJ. ŠIŠKA, POD ŠMARNO GORO",Prodaja,Stanovanje,,,,"151,00","253.400,00",Zasebna ponudba
"LJ. ŠIŠKA, PODJUNSKA UL.",Prodaja,Hiša,,,,"180,00","490.000,00",Vehovar nepremičnine d.o.o.
"LJ. ŠIŠKA, PODUTIK",Prodaja,Stanovanje,,,,"112,76","378.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, PODUTIK",Prodaja,Stanovanje,,,,"114,78","362.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, PODUTIK",Prodaja,Stanovanje,,,,"141,00","329.000,00",Zasebna ponudba
"LJ. ŠIŠKA, PODUTIK",Prodaja,Stanovanje,,,,"251,31","415.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. ŠIŠKA, PODUTIK - ATRIJSKO",Prodaja,Stanovanje,,,,"79,00","188.000,00","Lucia tim d.o.o., PE Nepremičnine"
"LJ. ŠIŠKA, PODUTIK, SONČNA TERASA",Prodaja,Stanovanje,,,,"70,00","188.000,00",ALEA nepremičninska družba d.o.o.
