ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija
LJ. CENTER,Prodaja,Stanovanje,,,,"61,80","329.914,41","GB nepremičnine, Goran Barišić s.p."
LJ. CENTER,Prodaja,Stanovanje,,,,"81,40","240.000,00",LJUBLJANA NEPREMIČNINE d.o.o.
LJ. CENTER,Prodaja,Stanovanje,,,,"85,80","284.000,00",Avenija nepremičnin d.o.o.
LJ. CENTER,Prodaja,Stanovanje,,,,"89,36","362.985,00","Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,,,,"91,21","394.999,00","Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,,,,"117,00","435.000,00",GRE d.o.o.
LJ. CENTER,Prodaja,Posest,,,,"3.437,00","4.500.000,00","DUTB, d.d."
"LJ. CENTER, KONGRESNI TRG 14",Prodaja,Stanovanje,,,,"91,00","360.000,00 &euro;<span class=""cena-old"">380.000,00",Zasebna ponudba
"LJ. CENTER, TABOR - VRHOVČEVA",Prodaja,Stanovanje,,,,"98,49","270.000,00",Rojal invest d.o.o.
"LJ. CENTER, TOP LOKACIJA V CENTRU - RIMSKA CESTA",Prodaja,Stanovanje,,,,"105,00","360.000,00",ABC nepremičnine d.o.o.
LJ. MOSTE,Prodaja,Hiša,,,,"140,00","320.000,00",Lares nepremičninska družba d.o.o.
"LJ. MOSTE, BLIŽINA CENTRA IN UKC",Prodaja,Stanovanje,,,,"44,60","120.000,00",Studio 68 d.o.o.
"LJ. MOSTE, DVOJČEK, ODLIČNA LOKACIJA",Prodaja,Hiša,,,,"166,00","1.790,00",Kram plus d.o.o.
"LJ. MOSTE, VEVČE",Prodaja,Hiša,,,,"150,00","249.000,00",MESTO NEPREMIČNIN d.o.o.
BLED,Prodaja,Hiša,,,,"492,00","700.000,00",Koncepti d.o.o.
"LJ. MOSTE, ZADOBROVA",Prodaja,Hiša,,,,"158,00","310.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"45,00","115.900,00",Mreža nepremičnin d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"81,00","267.000,00",Casa 69 d.o.o.
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"131,39","270.000,00","DUTB, d.d."
LJ. ŠIŠKA,Prodaja,Stanovanje,,,,"406,42","990.000,00","Stoja trade, d.o.o., Ljubljana"
"LJ. ŠIŠKA, 1A BIVANJE V BLIŽINI TIVOLIJA",Prodaja,Stanovanje,,,,"51,90","156.000,00",Studio 68 d.o.o.
"LJ. ŠIŠKA, BLIZU CENTRA, ODLIČNA LOKACIJA",Prodaja,Stanovanje,,,,"58,30","147.000,00",MP PROJEKT d.o.o.
LJ. VIČ,Prodaja,Stanovanje,,,,"34,00","89.000,00",TA-BU nepremičnine d.o.o.
LJ. VIČ,Prodaja,Stanovanje,,,,"75,00","208.000,00",Mreža nepremičnin d.o.o.
"LJ. VIČ, DOLGI MOST",Prodaja,Stanovanje,,,,"49,00","155.000,00",Mikljič-Hribar Company d.o.o.
"LJ. VIČ, JZ OBROBJE",Prodaja,Hiša,,,,"200,00","380.000,00",Zasebna ponudba
"LJ. VIČ, KOLEZIJA",Prodaja,Stanovanje,,,,"48,00","150.000,00",Harmonija nepremičnine Ksenja Kokalj s.p.
"LJ. VIČ, PRI DOLGEM MOSTU",Prodaja,Stanovanje,,,,"43,90","119.000,00",Harmonija nepremičnine Ksenja Kokalj s.p.
"LJ. VIČ, VELIKA PARCELA, MODERNO",Prodaja,Hiša,,,,"243,80","820.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LOGATEC, K. O. BLEKOVA VAS",Prodaja,Posest,,,,"658,00","49.000,00","Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o."
LOKEV,Prodaja,Hiša,,,,"173,00","165.000,00","Ruj Nepremičnine, Jernej Suša, s.p."
LUCIJA,Prodaja,Hiša,,,,"305,00","398.000,00",Casabela d.o.o./s.r.l.
"LUCIJA, BLIŽINA MERCATOR DISKONTA",Prodaja,Stanovanje,,,,"69,20","187.000,00",Obala nepremičnine d.o.o.
"LUCIJA, CENTER - NASPROTI TPC",Prodaja,Stanovanje,,,,"51,00","168.000,00",Obala nepremičnine d.o.o.
MALI LOČNIK,Prodaja,Posest,,,,"2.088,00","83.500,00",Premium nepremičnine d.o.o.
"MALIJA, ČUDOVIT RAZGLED",Prodaja,Hiša,,,,"229,50","640.000,00","Svitan d.o.o., PE nepremičnine"
MB - CENTER,Prodaja,Poslovni prostor,,,,"7.193,00","6.500.000,00","DUTB, d.d."
"MB - CENTER, PARTIZANSKA ULICA",Prodaja,Poslovni prostor,,,,"876,00","411.000,00","Zavarovalnica Triglav, d.d."
"MB - CENTER, VOŠNJAKOVA 22",Prodaja,Stanovanje,,,,"46,40","72.000,00","INSA d.o.o., Europark Maribor"
"MEDVODE, BALKON, SONČNO IN SVETLO",Prodaja,Stanovanje,,,,"62,45","155.000,00","STAN nepremičnine d.o.o., Ljubljana"
MIHOVO,Prodaja,Hiša,,,,"212,00","109.000,00",NNRN nepremičnine d.o.o. Novo mesto
MOKRONOG,Prodaja,Posest,,,,"900,00","33.000,00","Oridom nepremičnine, Ivan Orešnik s.p."
MORAVSKE TOPLICE,Prodaja,Stanovanje,,,,"73,70","169.900,00",ABC nepremičnine d.o.o.
"MORAVSKE TOPLICE, OD 128. 000 NAPREJ +DDV",Prodaja,Stanovanje,,,,"123,00","128.000,00",Recal Media d.o.o.
MOSTEC,Prodaja,Stanovanje,,,,"91,70","374.999,00 &euro;<span class=""cena-old"">434.900,00",MESTO NEPREMIČNIN d.o.o.
"MOŠE, PRI SMLEDNIKU MEDVODE",Prodaja,Hiša,,,,"120,00","140.000,00",Projekti MV d.o.o.
MURGLE,Prodaja,Stanovanje,,,,"99,96","450.675,00","Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,,,,"153,60","661.893,00","Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,,,,"176,69","775.700,00","Stoja trade, d.o.o., Ljubljana"
MURGLE,Prodaja,Stanovanje,,,,"288,83","588.314,00","Stoja trade, d.o.o., Ljubljana"
"MURGLE, LJ.",Prodaja,Stanovanje,,,,"90,18","450.467,00",IMI Stil d.o.o.
"MURGLE, LJ.",Prodaja,Stanovanje,,,,"97,98","504.206,00",IMI Stil d.o.o.
"RAKEK, 2 KM OD IZVOZA AC UNEC",Prodaja,Hiša,,,,"94,00","83.000,00",Zasebna ponudba
"MURSKA SOBOTA, NA LENDAVSKI ULICI 19",Prodaja,Stanovanje,,,,"67,50","65.900,00 &euro;<span class=""cena-old"">69.990,00",Dom M5 d.o.o.
NOVA GORICA,Prodaja,Poslovni prostor,,,,"1.083,24","750,00","DUTB, d.d."
NOVA GORICA,Prodaja,Poslovni prostor,,,,"4.033,50","2.700.000,00","DUTB, d.d."
NOVO MESTO,Prodaja,Stanovanje,,,,"90,90","173.700,00",Casa 69 d.o.o.
NOVO MESTO,Prodaja,Poslovni prostor,,,,"835,00","1.120.000,00",ABC nepremičnine d.o.o.
OREHOVSKI VRH,Prodaja,Hiša,,,,"205,00","145.000,00",EVANA posredovanje d.o.o.
ORLE,Prodaja,Posest,,,,"549,00","140.000,00",Premium nepremičnine d.o.o.
"PIRAN, PRVOMAJSKI TRG",Prodaja,Stanovanje,,,,"35,00","82.000,00","RE/MAX Obala, Nepremičninska družba, d.o.o."
PEKRE,Prodaja,Počitniški objekt,,,,"3.919,50","1.490.000,00","DUTB, d.d."
"PIRAN, BLIŽINA MESTA IN PLAŽE",Prodaja,Hiša,,,,"160,00","299.000,00","Svitan d.o.o., PE nepremičnine"
"PIRAN, TRG 1. MAJA",Prodaja,Stanovanje,,,,"115,40","240.000,00",Obala nepremičnine d.o.o.
PIVOLA,Prodaja,Hiša,,,,"125,00","159.618,10 &euro;<span class=""cena-old"">179.900,00",Atrium nepremičnine d.o.o.
"PLANINA NA POHORJU, ROGLA",Prodaja,Hiša,,,,"81,80","119.000,00",Premium nepremičnine d.o.o.
PODČETRTEK,Prodaja,Hiša,,,,"402,00","170.000,00",Zasebna ponudba
POLJČANE,Prodaja,Stanovanje,,,,"97,30","22.900,00 &euro;<span class=""cena-old"">24.990,00","Agenti nepremičninsko posredovanje, d.o.o."
"POLJE PRI VODICAH, MODERNO ZASNOVANA",Prodaja,Hiša,,,,"173,20","480.000,00","STAN nepremičnine d.o.o., Ljubljana"
"PORTOROŽ, PENTHOUSE Z BAZENOM V PORTOROŽU",Prodaja,Stanovanje,,,,"184,70","539.000,00",ABC nepremičnine d.o.o.
"PORTOROŽ, VILA - NOVOGRADNJA",Prodaja,Hiša,,,,"399,00","1.290.000,00",Vila Portorož d.o.o.
"POSTOJNA, KOČE",Prodaja,Posest,,,,"788,00","22.000,00",Nepremičnine Land d.o.o.
"PREVOJE PRI ŠENTVIDU, LUKOVICA - DOMŽALE",Prodaja,Stanovanje,,,,"41,00","93.000,00",Premium nepremičnine d.o.o.
"PUŠČE, VELIKE LAŠČE",Prodaja,Hiša,,,,"155,00","155.000,00",Premium nepremičnine d.o.o.
"RADIZEL, KOLMANOVA ULICA",Prodaja,Hiša,,,,"245,00","189.900,00","INSA d.o.o., Europark Maribor"
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,,,,"172,30","312.613,74","Iskra, d.o.o."
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,,,,"172,30","321.271,04","Iskra, d.o.o."
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,,,,"69,00","229.910,58",Magda - Bohinj d.o.o.
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,,,,"69,00","217.819,59",Magda - Bohinj d.o.o.
RATEČE,Prodaja,Hiša,,,,"214,00","440.000,00","DUTB, d.d."
"RAVNE NA KOROŠKEM, DOBJA VAS, OBRTNA CONA",Prodaja,Posest,,,,"5.000,00","60,00",SIMOBILIA nepremičnine d.o.o.
"RAVNIK, MIRNA, ŠENTRUPERT",Prodaja,Vikend,,,,"64,00","56.000,00","Oridom nepremičnine, Ivan Orešnik s.p."
"RETEČE, DRUŽINSKO NASELJE",Prodaja,Hiša,,,,"210,00","350.000,00",Zasebna ponudba
"RIBNO, 2, 5 KM OD BLEJSKEGA JEZERA",Prodaja,Stanovanje,,,,"157,00","198.500,00",Makler Bled d.o.o.
"RUDNIK, TRNOVSKO PREDMESTJE",Prodaja,Hiša,,,,"150,00","450.000,00",Aion d.o.o.
SAVSKO NASELJE,Prodaja,Stanovanje,,,,"59,60","157.000,00",Mreža nepremičnin d.o.o.
"SAVSKO NASELJE, OBNOVLJENO, DVIGALO, GARAZA",Prodaja,Stanovanje,,,,"84,00","247.000,00",Zasebna ponudba
"SEČOVLJE, BLIZU LETALIŠČA, MEJE",Prodaja,Hiša,,,,"72,30","198.000,00",Obala nepremičnine d.o.o.
"SENOVO, 6 KM IZVEN, 580 M NMV",Prodaja,Posest,,,,"205.269,00","125.000,00",DARMAL d.o.o.
SEŽANA,Prodaja,Hiša,,,,"137,30","188.000,00",Fin dom d.o.o.
SINJA GORICA,Prodaja,Posest,,,,"15.613,00","2.300.000,00","DUTB, d.d."
SLOVENSKA BISTRICA,Prodaja,Posest,,,,"62.700,00","1.380.000,00","DUTB, d.d."
"PIRAN, PRVOMAJSKI TRG",Prodaja,Stanovanje,,,,"35,00","82.000,00","RE/MAX Obala, Nepremičninska družba, d.o.o."
SP. ŠIŠKA,Prodaja,Stanovanje,,,,"55,70","137.000,00",Mreža nepremičnin d.o.o.
SP. ŠIŠKA,Prodaja,Stanovanje,,,,"78,00","179.000,00",Mreža nepremičnin d.o.o.
SPODNJE GAMELJNE,Prodaja,Stanovanje,,,,"307,00","395.000,00",DARMAL d.o.o.
"SPODNJE GAMELJNE, ČUDOVITA DVOSTANOVANJSKA HIŠA S POGLEDOM N...",Prodaja,Hiša,,,,"360,00","695.000,00",ABC nepremičnine d.o.o.
"SPODNJE RADVANJE, UL. EVE LOVŠE",Prodaja,Stanovanje,,,,"43,40","84.000,00","INSA d.o.o., Europark Maribor"
"SPODNJI HOTIČ, LITIJA",Prodaja,Hiša,,,,"183,00","216.810,00",Premium nepremičnine d.o.o.
SREDNJE GAMELJNE,Prodaja,Hiša,,,,"143,50","280.000,00","MP PROJEKT, d.o.o., PE Ljubljana"
STARI GRAD V PODBOČJU,Prodaja,Hiša,,,,"120,00","65.000,00","Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o."
"ŠENČUR, LEPA LOKACIJA, NA ROBU VASI",Prodaja,Posest,,,,"736,00","120,00",Nepremičnina posredovanje d.o.o.
"ŠENTVID, PREGRAJENO V 4 - SOBNO",Prodaja,Stanovanje,,,,"79,70","173.000,00",ABC nepremičnine d.o.o.
ŠKOFLJICA,Prodaja,Hiša,,,,"192,00","369.000,00",MESTO NEPREMIČNIN d.o.o.
ŠKOFLJICA,Prodaja,Posest,,,,"620,00","125,00",DARMAL d.o.o.
"ŠKOFLJICA, 1/A",Prodaja,Hiša,,,,"164,38","229.500,00",Anepremičnine d.o.o.
"ŠKOFLJICA, 3/B",Prodaja,Hiša,,,,"158,74","238.900,00 &euro;<span class=""cena-old"">248.900,00",Anepremičnine d.o.o.
